State,County,County_State,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Latitude,Longitude,countyFIPS,g
TX,Williamson County,"Williamson County, TX",2896486658,41622974,1118.34,16.071,30.649082,-97.605065,17199,17199
TX,Wilson County,"Wilson County, TX",2081662852,12111366,803.735,4.676,29.173883,-98.086734,20205,20205
TX,Winkler County,"Winkler County, TX",2178876165,19838,841.269,0.008,31.832862,-103.054925,48495,48495
TX,Wise County,"Wise County, TX",2342369030,47038990,904.394,18.162,33.219095,-97.653997,48497,48497
TX,Wood County,"Wood County, TX",1671170961,130732368,645.243,50.476,32.783588,-95.382166,39173,39173
TX,Yoakum County,"Yoakum County, TX",2071252476,34329,799.715,0.013,33.162398,-102.832242,48501,48501
TX,Young County,"Young County, TX",2368539760,42371869,914.498,16.36,33.158778,-98.67839,48503,48503
TX,Zapata County,"Zapata County, TX",2585876219,154370982,998.412,59.603,26.996981,-99.182603,48505,48505
TX,Zavala County,"Zavala County, TX",3360268878,11208707,1297.407,4.328,28.864652,-99.75983,48507,48507
UT,Beaver County,"Beaver County, UT",6689681828,5298466,2582.901,2.046,38.357535,-113.238948,40007,40007
UT,Box Elder County,"Box Elder County, UT",14881016779,2547651538,5745.593,983.654,41.276061,-113.126226,49003,49003
UT,Cache County,"Cache County, UT",3016638914,21097697,1164.731,8.146,41.734117,-111.745399,49005,49005
UT,Carbon County,"Carbon County, UT",3831067717,15844443,1479.184,6.118,39.673284,-110.588484,30009,30009
UT,Daggett County,"Daggett County, UT",1805185914,61230034,696.986,23.641,40.890099,-109.505785,49009,49009
UT,Davis County,"Davis County, UT",774573895,870620486,299.065,336.148,41.037559,-112.201943,19051,19051
UT,Duchesne County,"Duchesne County, UT",8379502732,38797805,3235.344,14.98,40.289393,-110.429584,49013,49013
UT,Emery County,"Emery County, UT",11557242836,24843848,4462.277,9.592,39.009025,-110.7211,49015,49015
UT,Garfield County,"Garfield County, UT",13403572592,85610782,5175.149,33.055,37.831664,-111.450908,8045,8045
UT,Grand County,"Grand County, UT",9512361695,31552270,3672.744,12.182,38.974326,-109.57345,8049,8049
UT,Iron County,"Iron County, UT",8537474393,11390956,3296.337,4.398,37.909304,-113.30674,26071,26071
UT,Juab County,"Juab County, UT",8784407524,36542088,3391.679,14.109,39.71412,-112.790471,49023,49023
UT,Kane County,"Kane County, UT",10333912584,306169204,3989.946,118.213,37.275089,-111.815329,17089,17089
UT,Millard County,"Millard County, UT",17574363583,133311812,6785.5,51.472,38.956744,-113.133092,49027,49027
UT,Morgan County,"Morgan County, UT",1577739404,4437369,609.169,1.713,41.091027,-111.577885,1103,1103
UT,Piute County,"Piute County, UT",1964345824,20285697,758.438,7.832,38.335881,-112.129375,49031,49031
UT,Rich County,"Rich County, UT",2664700960,149106532,1028.847,57.57,41.627598,-111.240227,49033,49033
UT,Salt Lake County,"Salt Lake County, UT",1921943552,164903045,742.067,63.669,40.667883,-111.92424,49035,49035
UT,San Juan County,"San Juan County, UT",20253296804,293696059,7819.842,113.397,37.602633,-109.791574,8111,8111
UT,Sanpete County,"Sanpete County, UT",4117901464,32049371,1589.931,12.374,39.382531,-111.572883,49039,49039
UT,Sevier County,"Sevier County, UT",4948000018,20260738,1910.434,7.823,38.746824,-111.81193,5133,5133
UT,Summit County,"Summit County, UT",4844777278,26617166,1870.579,10.277,40.87206,-110.968486,8117,8117
UT,Tooele County,"Tooele County, UT",17979556883,891073714,6941.946,344.045,40.467753,-113.123979,49045,49045
UT,Uintah County,"Uintah County, UT",11609319514,56115726,4482.384,21.666,40.125887,-109.517748,49047,49047
UT,Utah County,"Utah County, UT",5190511352,363000373,2004.068,140.155,40.120425,-111.668508,49049,49049
UT,Wasatch County,"Wasatch County, UT",3048454179,79128329,1177.015,30.552,40.334884,-111.161568,49051,49051
UT,Washington County,"Washington County, UT",6287037025,7781671,2427.439,3.005,37.262531,-113.4878,1129,1129
UT,Wayne County,"Wayne County, UT",6374011496,15049641,2461.02,5.811,38.25984,-110.990877,13305,13305
UT,Weber County,"Weber County, UT",1492536927,216443479,576.272,83.569,41.270325,-111.876883,49057,49057
VT,Addison County,"Addison County, VT",1984780267,107303387,766.328,41.43,44.031248,-73.141581,50001,50001
VT,Bennington County,"Bennington County, VT",1748232505,6928230,674.996,2.675,43.035325,-73.11146,50003,50003
VT,Caledonia County,"Caledonia County, VT",1680952571,22385533,649.019,8.643,44.468791,-72.112168,50005,50005
VT,Chittenden County,"Chittenden County, VT",1389750174,214227544,536.586,82.714,44.463329,-73.06941,50007,50007
VT,Essex County,"Essex County, VT",1718713996,28676219,663.599,11.072,44.724021,-71.732736,25009,25009
VT,Franklin County,"Franklin County, VT",1642369811,150194261,634.123,57.99,44.858964,-72.909402,1059,1059
VT,Grand Isle County,"Grand Isle County, VT",211881634,292317316,81.808,112.864,44.801787,-73.300759,50013,50013
VT,Lamoille County,"Lamoille County, VT",1188468700,12662636,458.87,4.889,44.603704,-72.638922,50015,50015
VT,Orange County,"Orange County, VT",1779395566,12010320,687.028,4.637,44.003392,-72.369687,6059,6059
VT,Orleans County,"Orleans County, VT",1796347026,71471454,693.573,27.595,44.828442,-72.25163,36073,36073
VT,Rutland County,"Rutland County, VT",2408219235,38751950,929.819,14.962,43.580858,-73.038202,50021,50021
VT,Washington County,"Washington County, VT",1779432159,21173948,687.043,8.175,44.274988,-72.609514,1129,1129
VT,Windham County,"Windham County, VT",2034457838,32920750,785.509,12.711,42.995335,-72.721955,9015,9015
VT,Windsor County,"Windsor County, VT",2511196442,19360407,969.578,7.475,43.572685,-72.598821,50027,50027
VA,Accomack County,"Accomack County, VA",1163708393,2229277504,449.31,860.729,37.765944,-75.757807,51001,51001
VA,Albemarle County,"Albemarle County, VA",1866007829,14230114,720.47,5.494,38.024184,-78.553506,51003,51003
